internal_project_id,evidence_date,outcome_type,failure_category,evidence_summary,source_scope
PAI-01084,2026-03-01,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01093,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01096,2026-03-01,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01097,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01103,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01116,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01117,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01121,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01123,2026-03-01,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01128,2026-03-01,ABANDONED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01129,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01132,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01135,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01144,2026-03-01,DROPPED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01148,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01152,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01159,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01171,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01174,2026-03-01,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01175,2026-03-01,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01177,2026-03-01,DROPPED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01180,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01181,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01192,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01193,2026-03-01,DROPPED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01196,2026-03-01,CANCELLED,FUNDING,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01197,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01201,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01216,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01223,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01229,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01244,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01248,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01249,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01250,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01252,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01256,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01261,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01265,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01266,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01275,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01277,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01280,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01299,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01310,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01323,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01328,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01331,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01337,2026-03-01,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01344,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01349,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01355,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01359,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01369,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01374,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01375,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01387,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01403,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01407,2026-03-01,DROPPED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01408,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01410,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01418,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01436,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01441,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01442,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01450,2026-03-01,ABANDONED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01453,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01455,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01459,2026-03-01,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01460,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01463,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01465,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01471,2026-03-01,CANCELLED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01479,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01480,2026-03-01,TERMINATED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01486,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01491,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01494,2026-03-01,DROPPED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01502,2026-03-01,TERMINATED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01507,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01511,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01512,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01513,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01526,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01535,2026-03-01,TERMINATED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01536,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01548,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01557,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01563,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01572,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01573,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01581,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01582,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01587,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01595,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01602,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01623,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01624,2026-03-01,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01626,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01630,2026-03-01,CANCELLED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01633,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01635,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01638,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01642,2026-03-01,TERMINATED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01644,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01651,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01668,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01675,2026-03-01,ABANDONED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01679,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01685,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01690,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01692,2026-03-01,CANCELLED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01697,2026-03-01,CANCELLED,FUNDING,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01703,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01706,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01711,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01718,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01721,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01726,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01727,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01728,2026-03-01,ABANDONED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01735,2026-03-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01739,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01746,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01749,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01756,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01757,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01760,2026-03-01,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01761,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01767,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01768,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01783,2026-03-01,DROPPED,FUNDING,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01789,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01791,2026-03-01,DROPPED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01798,2026-03-01,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01804,2026-03-01,DROPPED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01805,2026-03-01,TERMINATED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01810,2026-03-01,DOWNGRADED,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01814,2026-03-01,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01817,2026-03-01,TERMINATED,CLEARANCE,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01822,2026-03-01,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01845,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01846,2026-03-01,DROPPED,FUNDING,Synthetic historical analogue: project trajectory associated with dropped outcome.,SYNTHETIC
PAI-01851,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01859,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01862,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01872,2026-03-01,TERMINATED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01880,2026-03-01,CANCELLED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01882,2026-03-01,CANCELLED,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-01888,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01899,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01903,2026-03-01,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01912,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01919,2026-03-01,ABANDONED,FUNDING,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01927,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01934,2026-03-01,ABANDONED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-01936,2026-03-01,DOWNGRADED,FUNDING,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01944,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01945,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01952,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01956,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01970,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01971,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-01974,2026-03-01,TERMINATED,FUNDING,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-01977,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01989,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01991,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01995,2026-03-01,FROZEN,FUNDING,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-01998,2026-03-01,CANCELLED,FUNDING,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-02001,2026-03-01,FROZEN,CLEARANCE,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02007,2026-03-01,FROZEN,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02017,2026-03-01,DOWNGRADED,CLEARANCE,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02019,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02021,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02027,2026-03-01,ABANDONED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-02029,2026-03-01,DOWNGRADED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02035,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02039,2026-03-01,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-02040,2026-03-01,FROZEN,OTHER_OR_UNKNOWN,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02042,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02046,2026-03-01,DOWNGRADED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02047,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02048,2026-03-01,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02049,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02050,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02054,2026-03-01,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02058,2026-03-01,CANCELLED,CLEARANCE,Synthetic historical analogue: project trajectory associated with cancelled outcome.,SYNTHETIC
PAI-02060,2026-03-01,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02061,2026-03-01,TERMINATED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-02070,2026-03-01,ABANDONED,ENGINEERING_OR_FEASIBILITY,Synthetic historical analogue: project trajectory associated with abandoned outcome.,SYNTHETIC
PAI-02071,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02075,2026-03-01,FROZEN,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with frozen outcome.,SYNTHETIC
PAI-02078,2026-03-01,DOWNGRADED,LAND_ACQUISITION,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
PAI-02082,2026-03-01,TERMINATED,BUDGET_OR_APPROVAL,Synthetic historical analogue: project trajectory associated with terminated outcome.,SYNTHETIC
PAI-02083,2026-03-01,DOWNGRADED,SCOPE_OR_POLICY,Synthetic historical analogue: project trajectory associated with downgraded outcome.,SYNTHETIC
