outcome_id,internal_project_id,outcome_date,outcome_type,outcome_reason
OUT-00440,PAI-00440,2026-08-24,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00441,PAI-00441,2026-03-18,COMPLETED,
OUT-00442,PAI-00442,2026-02-17,COMPLETED,
OUT-00443,PAI-00443,2026-04-27,COMPLETED,
OUT-00444,PAI-00444,2026-05-06,COMPLETED,
OUT-00445,PAI-00445,2026-01-31,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00446,PAI-00446,2026-02-12,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00447,PAI-00447,2026-06-25,COMPLETED,
OUT-00448,PAI-00448,2026-06-15,COMPLETED,
OUT-00449,PAI-00449,2026-07-30,COMPLETED,
OUT-00450,PAI-00450,2026-03-15,COMPLETED,
OUT-00451,PAI-00451,2026-07-24,COMPLETED,
OUT-00452,PAI-00452,2026-06-17,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00453,PAI-00453,2026-07-06,COMPLETED,
OUT-00454,PAI-00454,2026-04-09,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00455,PAI-00455,2026-04-12,COMPLETED,
OUT-00456,PAI-00456,2026-04-11,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00457,PAI-00457,2026-04-13,COMPLETED,
OUT-00458,PAI-00458,2026-05-22,COMPLETED,
OUT-00459,PAI-00459,2026-04-07,COMPLETED,
OUT-00460,PAI-00460,2026-04-10,COMPLETED,
OUT-00461,PAI-00461,2026-05-30,COMPLETED,
OUT-00462,PAI-00462,2026-03-22,COMPLETED,
OUT-00463,PAI-00463,2026-08-24,COMPLETED,
OUT-00464,PAI-00464,2026-06-29,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00465,PAI-00465,2026-03-04,COMPLETED,
OUT-00466,PAI-00466,2026-08-27,COMPLETED,
OUT-00468,PAI-00468,2026-07-16,COMPLETED,
OUT-00469,PAI-00469,2026-03-29,COMPLETED,
OUT-00470,PAI-00470,2026-06-07,COMPLETED,
OUT-00471,PAI-00471,2026-07-08,COMPLETED,
OUT-00472,PAI-00472,2026-02-22,COMPLETED,
OUT-00473,PAI-00473,2026-05-25,COMPLETED,
OUT-00474,PAI-00474,2026-04-20,COMPLETED,
OUT-00475,PAI-00475,2026-02-03,COMPLETED,
OUT-00476,PAI-00476,2026-07-13,COMPLETED,
OUT-00477,PAI-00477,2026-04-09,COMPLETED,
OUT-00478,PAI-00478,2026-06-07,COMPLETED,
OUT-00479,PAI-00479,2026-04-24,COMPLETED,
OUT-00480,PAI-00480,2026-05-18,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00481,PAI-00481,2026-07-17,COMPLETED,
OUT-00482,PAI-00482,2026-07-23,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00483,PAI-00483,2026-08-02,COMPLETED,
OUT-00484,PAI-00484,2026-07-26,COMPLETED,
OUT-00486,PAI-00486,2026-01-31,COMPLETED,
OUT-00487,PAI-00487,2026-06-09,COMPLETED,
OUT-00488,PAI-00488,2026-07-02,COMPLETED,
OUT-00489,PAI-00489,2026-06-27,COMPLETED,
OUT-00490,PAI-00490,2026-04-26,COMPLETED,
OUT-00491,PAI-00491,2026-07-16,COMPLETED,
OUT-00492,PAI-00492,2026-06-06,COMPLETED,
OUT-00493,PAI-00493,2026-05-20,COMPLETED,
OUT-00494,PAI-00494,2026-07-31,COMPLETED,
OUT-00495,PAI-00495,2026-03-27,COMPLETED,
OUT-00496,PAI-00496,2026-04-08,COMPLETED,
OUT-00497,PAI-00497,2026-04-22,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00498,PAI-00498,2026-07-29,COMPLETED,
OUT-00499,PAI-00499,2026-04-01,COMPLETED,
OUT-00500,PAI-00500,2026-02-21,COMPLETED,
OUT-00501,PAI-00501,2026-06-22,COMPLETED,
OUT-00503,PAI-00503,2026-06-28,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00504,PAI-00504,2026-03-01,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00505,PAI-00505,2026-03-12,COMPLETED,
OUT-00506,PAI-00506,2026-01-30,COMPLETED,
OUT-00507,PAI-00507,2026-06-28,COMPLETED,
OUT-00508,PAI-00508,2026-03-19,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00509,PAI-00509,2026-07-22,COMPLETED,
OUT-00510,PAI-00510,2026-03-24,COMPLETED,
OUT-00511,PAI-00511,2026-05-14,COMPLETED,
OUT-00512,PAI-00512,2026-07-02,COMPLETED,
OUT-00513,PAI-00513,2026-07-06,COMPLETED,
OUT-00514,PAI-00514,2026-07-04,COMPLETED,
OUT-00516,PAI-00516,2026-03-27,COMPLETED,
OUT-00518,PAI-00518,2026-06-21,COMPLETED,
OUT-00519,PAI-00519,2026-07-16,COMPLETED,
OUT-00520,PAI-00520,2026-02-09,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00522,PAI-00522,2026-08-27,COMPLETED,
OUT-00523,PAI-00523,2026-03-17,COMPLETED,
OUT-00524,PAI-00524,2026-03-11,COMPLETED,
OUT-00525,PAI-00525,2026-03-01,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00526,PAI-00526,2026-04-24,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00527,PAI-00527,2026-08-20,COMPLETED,
OUT-00528,PAI-00528,2026-02-22,COMPLETED,
OUT-00529,PAI-00529,2026-03-20,COMPLETED,
OUT-00530,PAI-00530,2026-02-09,COMPLETED,
OUT-00531,PAI-00531,2026-02-21,COMPLETED,
OUT-00532,PAI-00532,2026-08-24,COMPLETED,
OUT-00533,PAI-00533,2026-04-05,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00534,PAI-00534,2026-05-23,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00535,PAI-00535,2026-04-20,COMPLETED,
OUT-00536,PAI-00536,2026-02-17,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00537,PAI-00537,2026-06-13,COMPLETED,
OUT-00539,PAI-00539,2026-07-09,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00540,PAI-00540,2026-02-10,COMPLETED,
OUT-00541,PAI-00541,2026-03-25,COMPLETED,
OUT-00542,PAI-00542,2026-07-20,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00543,PAI-00543,2026-06-29,COMPLETED,
OUT-00544,PAI-00544,2026-08-11,COMPLETED,
OUT-00545,PAI-00545,2026-06-01,COMPLETED,
OUT-00546,PAI-00546,2026-06-18,COMPLETED,
OUT-00547,PAI-00547,2026-04-13,COMPLETED,
OUT-00548,PAI-00548,2026-05-02,COMPLETED,
OUT-00549,PAI-00549,2026-07-31,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00550,PAI-00550,2026-07-10,COMPLETED,
OUT-00551,PAI-00551,2026-05-22,COMPLETED,
OUT-00553,PAI-00553,2026-04-08,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00554,PAI-00554,2026-07-11,COMPLETED,
OUT-00555,PAI-00555,2026-02-11,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00556,PAI-00556,2026-06-01,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00557,PAI-00557,2026-06-23,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00558,PAI-00558,2026-03-08,COMPLETED,
OUT-00559,PAI-00559,2026-05-19,COMPLETED,
OUT-00560,PAI-00560,2026-04-29,COMPLETED,
OUT-00561,PAI-00561,2026-07-05,COMPLETED,
OUT-00562,PAI-00562,2026-07-04,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00563,PAI-00563,2026-03-10,COMPLETED,
OUT-00564,PAI-00564,2026-05-28,COMPLETED,
OUT-00565,PAI-00565,2026-06-03,COMPLETED,
OUT-00566,PAI-00566,2026-02-10,COMPLETED,
OUT-00567,PAI-00567,2026-05-18,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00568,PAI-00568,2026-03-03,COMPLETED,
OUT-00569,PAI-00569,2026-03-19,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00570,PAI-00570,2026-03-04,COMPLETED,
OUT-00571,PAI-00571,2026-08-23,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00572,PAI-00572,2026-02-27,COMPLETED,
OUT-00573,PAI-00573,2026-02-11,COMPLETED,
OUT-00574,PAI-00574,2026-03-10,COMPLETED,
OUT-00575,PAI-00575,2026-08-12,COMPLETED,
OUT-00576,PAI-00576,2026-02-08,COMPLETED,
OUT-00577,PAI-00577,2026-02-07,COMPLETED,
OUT-00578,PAI-00578,2026-03-19,COMPLETED,
OUT-00579,PAI-00579,2026-08-02,COMPLETED,
OUT-00580,PAI-00580,2026-05-25,COMPLETED,
OUT-00581,PAI-00581,2026-02-27,COMPLETED,
OUT-00582,PAI-00582,2026-08-12,COMPLETED,
OUT-00583,PAI-00583,2026-02-05,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00585,PAI-00585,2026-05-14,COMPLETED,
OUT-00586,PAI-00586,2026-02-06,COMPLETED,
OUT-00587,PAI-00587,2026-05-16,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00588,PAI-00588,2026-02-28,COMPLETED,
OUT-00589,PAI-00589,2026-05-21,COMPLETED,
OUT-00590,PAI-00590,2026-03-31,COMPLETED,
OUT-00591,PAI-00591,2026-07-28,COMPLETED,
OUT-00592,PAI-00592,2026-04-03,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00593,PAI-00593,2026-07-04,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00595,PAI-00595,2026-07-28,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00596,PAI-00596,2026-03-01,COMPLETED,
OUT-00597,PAI-00597,2026-04-02,COMPLETED,
OUT-00598,PAI-00598,2026-05-25,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00599,PAI-00599,2026-06-11,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00600,PAI-00600,2026-07-05,COMPLETED,
OUT-00601,PAI-00601,2026-07-06,COMPLETED,
OUT-00602,PAI-00602,2026-04-27,COMPLETED,
OUT-00603,PAI-00603,2026-02-11,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00604,PAI-00604,2026-05-20,COMPLETED,
OUT-00605,PAI-00605,2026-07-31,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00606,PAI-00606,2026-06-06,COMPLETED,
OUT-00607,PAI-00607,2026-07-16,COMPLETED,
OUT-00608,PAI-00608,2026-04-12,COMPLETED,
OUT-00609,PAI-00609,2026-02-21,COMPLETED,
OUT-00610,PAI-00610,2026-04-30,COMPLETED,
OUT-00611,PAI-00611,2026-07-08,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00612,PAI-00612,2026-04-25,COMPLETED,
OUT-00613,PAI-00613,2026-07-19,COMPLETED,
OUT-00615,PAI-00615,2026-04-08,COMPLETED,
OUT-00616,PAI-00616,2026-05-08,COMPLETED,
OUT-00617,PAI-00617,2026-03-10,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00618,PAI-00618,2026-05-09,COMPLETED,
OUT-00619,PAI-00619,2026-06-18,COMPLETED,
OUT-00620,PAI-00620,2026-02-13,COMPLETED,
OUT-00621,PAI-00621,2026-08-13,COMPLETED,
OUT-00622,PAI-00622,2026-03-27,COMPLETED,
OUT-00623,PAI-00623,2026-03-06,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00625,PAI-00625,2026-05-23,COMPLETED,
OUT-00626,PAI-00626,2026-05-27,COMPLETED,
OUT-00627,PAI-00627,2026-03-02,COMPLETED,
OUT-00628,PAI-00628,2026-05-22,COMPLETED,
OUT-00629,PAI-00629,2026-08-03,COMPLETED,
OUT-00631,PAI-00631,2026-07-07,COMPLETED,
OUT-00632,PAI-00632,2026-04-02,COMPLETED,
OUT-00633,PAI-00633,2026-03-24,COMPLETED,
OUT-00634,PAI-00634,2026-04-22,COMPLETED,
OUT-00636,PAI-00636,2026-07-22,COMPLETED,
OUT-00637,PAI-00637,2026-07-20,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00638,PAI-00638,2026-08-26,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00639,PAI-00639,2026-08-03,COMPLETED,
OUT-00640,PAI-00640,2026-02-28,COMPLETED,
OUT-00641,PAI-00641,2026-07-22,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00643,PAI-00643,2026-05-23,COMPLETED,
OUT-00644,PAI-00644,2026-02-17,COMPLETED,
OUT-00645,PAI-00645,2026-03-03,COMPLETED,
OUT-00646,PAI-00646,2026-03-18,COMPLETED,
OUT-00647,PAI-00647,2026-03-29,DROPPED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00648,PAI-00648,2026-07-11,COMPLETED,
OUT-00649,PAI-00649,2026-05-27,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00650,PAI-00650,2026-05-23,COMPLETED,
OUT-00651,PAI-00651,2026-04-18,COMPLETED,
OUT-00652,PAI-00652,2026-02-04,COMPLETED,
OUT-00653,PAI-00653,2026-05-30,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00655,PAI-00655,2026-06-16,COMPLETED,
OUT-00656,PAI-00656,2026-03-25,COMPLETED,
OUT-00657,PAI-00657,2026-06-16,COMPLETED,
OUT-00658,PAI-00658,2026-04-07,COMPLETED,
OUT-00659,PAI-00659,2026-03-07,COMPLETED,
OUT-00660,PAI-00660,2026-06-23,COMPLETED,
OUT-00661,PAI-00661,2026-08-01,COMPLETED,
OUT-00662,PAI-00662,2026-03-09,COMPLETED,
OUT-00663,PAI-00663,2026-06-27,COMPLETED,
OUT-00664,PAI-00664,2026-06-12,COMPLETED,
OUT-00665,PAI-00665,2026-04-11,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00666,PAI-00666,2026-06-28,COMPLETED,
OUT-00667,PAI-00667,2026-05-12,COMPLETED,
OUT-00668,PAI-00668,2026-03-12,COMPLETED,
OUT-00669,PAI-00669,2026-08-12,COMPLETED,
OUT-00670,PAI-00670,2026-06-16,COMPLETED,
OUT-00671,PAI-00671,2026-07-11,COMPLETED,
OUT-00672,PAI-00672,2026-08-18,COMPLETED,
OUT-00673,PAI-00673,2026-06-02,COMPLETED,
OUT-00674,PAI-00674,2026-04-01,COMPLETED,
OUT-00675,PAI-00675,2026-07-04,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00676,PAI-00676,2026-08-23,COMPLETED,
OUT-00677,PAI-00677,2026-07-31,COMPLETED,
OUT-00678,PAI-00678,2026-07-09,COMPLETED,
OUT-00679,PAI-00679,2026-02-07,COMPLETED,
OUT-00680,PAI-00680,2026-05-30,COMPLETED,
OUT-00681,PAI-00681,2026-05-16,COMPLETED,
OUT-00682,PAI-00682,2026-07-06,COMPLETED,
OUT-00683,PAI-00683,2026-03-23,COMPLETED,
OUT-00684,PAI-00684,2026-02-27,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00685,PAI-00685,2026-08-02,COMPLETED,
OUT-00686,PAI-00686,2026-04-24,COMPLETED,
OUT-00687,PAI-00687,2026-05-31,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00688,PAI-00688,2026-08-02,COMPLETED,
OUT-00689,PAI-00689,2026-04-22,COMPLETED,
OUT-00690,PAI-00690,2026-06-28,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00691,PAI-00691,2026-07-30,COMPLETED,
OUT-00692,PAI-00692,2026-07-16,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00693,PAI-00693,2026-04-29,COMPLETED,
OUT-00694,PAI-00694,2026-06-06,COMPLETED,
OUT-00695,PAI-00695,2026-02-14,COMPLETED,
OUT-00698,PAI-00698,2026-07-10,COMPLETED,
OUT-00699,PAI-00699,2026-05-22,COMPLETED,
OUT-00700,PAI-00700,2026-07-04,COMPLETED,
OUT-00701,PAI-00701,2026-08-01,COMPLETED,
OUT-00702,PAI-00702,2026-04-07,COMPLETED,
OUT-00703,PAI-00703,2026-05-07,COMPLETED,
OUT-00704,PAI-00704,2026-05-04,COMPLETED,
OUT-00705,PAI-00705,2026-04-26,COMPLETED,
OUT-00706,PAI-00706,2026-03-01,COMPLETED,
OUT-00707,PAI-00707,2026-04-27,COMPLETED,
OUT-00708,PAI-00708,2026-08-22,COMPLETED,
OUT-00709,PAI-00709,2026-02-19,COMPLETED,
OUT-00710,PAI-00710,2026-02-17,COMPLETED,
OUT-00711,PAI-00711,2026-05-08,COMPLETED,
OUT-00712,PAI-00712,2026-03-03,COMPLETED,
OUT-00713,PAI-00713,2026-03-09,COMPLETED,
OUT-00714,PAI-00714,2026-06-17,COMPLETED,
OUT-00715,PAI-00715,2026-02-26,COMPLETED,
OUT-00716,PAI-00716,2026-07-27,COMPLETED,
OUT-00717,PAI-00717,2026-04-21,COMPLETED,
OUT-00718,PAI-00718,2026-03-23,COMPLETED,
OUT-00719,PAI-00719,2026-07-16,COMPLETED,
OUT-00720,PAI-00720,2026-04-02,COMPLETED,
OUT-00721,PAI-00721,2026-03-04,COMPLETED,
OUT-00722,PAI-00722,2026-06-11,COMPLETED,
OUT-00723,PAI-00723,2026-02-11,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00724,PAI-00724,2026-03-02,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00725,PAI-00725,2026-05-02,COMPLETED,
OUT-00726,PAI-00726,2026-02-18,COMPLETED,
OUT-00727,PAI-00727,2026-06-25,COMPLETED,
OUT-00728,PAI-00728,2026-07-16,COMPLETED,
OUT-00729,PAI-00729,2026-08-14,COMPLETED,
OUT-00730,PAI-00730,2026-06-11,COMPLETED,
OUT-00731,PAI-00731,2026-07-14,COMPLETED,
OUT-00732,PAI-00732,2026-03-26,COMPLETED,
OUT-00733,PAI-00733,2026-04-29,COMPLETED,
OUT-00735,PAI-00735,2026-02-14,COMPLETED,
OUT-00736,PAI-00736,2026-04-10,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00737,PAI-00737,2026-06-14,COMPLETED,
OUT-00738,PAI-00738,2026-02-18,COMPLETED,
OUT-00739,PAI-00739,2026-04-10,COMPLETED,
OUT-00740,PAI-00740,2026-07-27,COMPLETED,
OUT-00741,PAI-00741,2026-05-21,COMPLETED,
OUT-00742,PAI-00742,2026-05-06,COMPLETED,
OUT-00743,PAI-00743,2026-02-27,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00744,PAI-00744,2026-08-22,COMPLETED,
OUT-00745,PAI-00745,2026-06-10,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00746,PAI-00746,2026-06-19,COMPLETED,
OUT-00747,PAI-00747,2026-05-03,COMPLETED,
OUT-00748,PAI-00748,2026-06-12,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00749,PAI-00749,2026-06-15,COMPLETED,
OUT-00750,PAI-00750,2026-06-18,COMPLETED,
