issue_id,internal_project_id,reporting_date,issue_category,issue_description,issue_status,severity
ISS-00040-23-02,PAI-00040,2025-11-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00040-23-03,PAI-00040,2025-11-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00040-24-01,PAI-00040,2025-12-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00041-08-01,PAI-00041,2024-08-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00041-11-01,PAI-00041,2024-11-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00041-12-01,PAI-00041,2024-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
ISS-00041-14-01,PAI-00041,2025-02-28,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00041-23-01,PAI-00041,2025-11-30,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00042-08-01,PAI-00042,2024-08-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,LOW
ISS-00042-15-01,PAI-00042,2025-03-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00042-20-01,PAI-00042,2025-08-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00043-13-01,PAI-00043,2025-01-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,MEDIUM
ISS-00043-13-02,PAI-00043,2025-01-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00043-13-03,PAI-00043,2025-01-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00043-18-01,PAI-00043,2025-06-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00043-19-01,PAI-00043,2025-07-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00043-22-01,PAI-00043,2025-10-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,HIGH
ISS-00043-23-01,PAI-00043,2025-11-30,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00043-24-01,PAI-00043,2025-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00044-12-01,PAI-00044,2024-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,LOW
ISS-00044-17-01,PAI-00044,2025-05-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,LOW
ISS-00044-19-01,PAI-00044,2025-07-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00044-24-01,PAI-00044,2025-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00045-08-01,PAI-00045,2024-08-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00045-12-01,PAI-00045,2024-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
ISS-00045-12-02,PAI-00045,2024-12-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00045-15-01,PAI-00045,2025-03-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,HIGH
ISS-00045-23-01,PAI-00045,2025-11-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,LOW
ISS-00046-02-01,PAI-00046,2024-02-29,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00046-07-01,PAI-00046,2024-07-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00046-07-02,PAI-00046,2024-07-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00046-10-01,PAI-00046,2024-10-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,LOW
ISS-00046-10-02,PAI-00046,2024-10-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00046-16-01,PAI-00046,2025-04-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00046-16-02,PAI-00046,2025-04-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00046-19-01,PAI-00046,2025-07-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00046-23-01,PAI-00046,2025-11-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,HIGH
ISS-00046-24-01,PAI-00046,2025-12-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00047-01-01,PAI-00047,2024-01-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00047-09-01,PAI-00047,2024-09-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00047-10-01,PAI-00047,2024-10-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,HIGH
ISS-00047-15-01,PAI-00047,2025-03-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,LOW
ISS-00048-01-01,PAI-00048,2024-01-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00048-02-01,PAI-00048,2024-02-29,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00048-04-01,PAI-00048,2024-04-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00048-10-01,PAI-00048,2024-10-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,HIGH
ISS-00048-10-02,PAI-00048,2024-10-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00048-11-01,PAI-00048,2024-11-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00048-13-01,PAI-00048,2025-01-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00048-15-01,PAI-00048,2025-03-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00048-21-01,PAI-00048,2025-09-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,LOW
ISS-00048-23-01,PAI-00048,2025-11-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00048-24-01,PAI-00048,2025-12-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00048-24-02,PAI-00048,2025-12-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00049-02-01,PAI-00049,2024-02-29,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,LOW
ISS-00049-07-01,PAI-00049,2024-07-31,FUNDING,Synthetic funding issue requiring monitoring review.,RESOLVED,LOW
ISS-00049-08-01,PAI-00049,2024-08-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00049-08-02,PAI-00049,2024-08-31,FUNDING,Synthetic funding issue requiring monitoring review.,RESOLVED,LOW
ISS-00049-10-01,PAI-00049,2024-10-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00049-20-01,PAI-00049,2025-08-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00049-22-01,PAI-00049,2025-10-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00050-07-01,PAI-00050,2024-07-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00050-16-01,PAI-00050,2025-04-30,FUNDING,Synthetic funding issue requiring monitoring review.,RESOLVED,LOW
ISS-00050-16-02,PAI-00050,2025-04-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00050-24-01,PAI-00050,2025-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,LOW
ISS-00050-24-02,PAI-00050,2025-12-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00051-01-01,PAI-00051,2024-01-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00051-08-01,PAI-00051,2024-08-31,FUNDING,Synthetic funding issue requiring monitoring review.,RESOLVED,LOW
ISS-00051-12-01,PAI-00051,2024-12-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,MEDIUM
ISS-00051-17-01,PAI-00051,2025-05-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,LOW
ISS-00051-17-02,PAI-00051,2025-05-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,HIGH
ISS-00051-20-01,PAI-00051,2025-08-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00051-21-01,PAI-00051,2025-09-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-08-01,PAI-00052,2024-08-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,HIGH
ISS-00052-10-01,PAI-00052,2024-10-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00052-10-02,PAI-00052,2024-10-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-11-01,PAI-00052,2024-11-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,LOW
ISS-00052-16-01,PAI-00052,2025-04-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-17-01,PAI-00052,2025-05-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00052-19-01,PAI-00052,2025-07-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,HIGH
ISS-00052-21-01,PAI-00052,2025-09-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-22-01,PAI-00052,2025-10-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00052-22-02,PAI-00052,2025-10-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-23-01,PAI-00052,2025-11-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00052-24-01,PAI-00052,2025-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00053-07-01,PAI-00053,2024-07-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00053-15-01,PAI-00053,2025-03-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00053-16-01,PAI-00053,2025-04-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00053-18-01,PAI-00053,2025-06-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00053-21-01,PAI-00053,2025-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00054-02-01,PAI-00054,2024-02-29,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00054-06-01,PAI-00054,2024-06-30,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00054-06-02,PAI-00054,2024-06-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00054-14-01,PAI-00054,2025-02-28,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,RESOLVED,LOW
ISS-00054-15-01,PAI-00054,2025-03-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00054-15-02,PAI-00054,2025-03-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00054-16-01,PAI-00054,2025-04-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00054-17-01,PAI-00054,2025-05-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,HIGH
ISS-00054-17-02,PAI-00054,2025-05-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00054-18-01,PAI-00054,2025-06-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,MEDIUM
ISS-00054-19-01,PAI-00054,2025-07-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00054-21-01,PAI-00054,2025-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00054-24-01,PAI-00054,2025-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00055-03-01,PAI-00055,2024-03-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00055-08-01,PAI-00055,2024-08-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00055-16-01,PAI-00055,2025-04-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,LOW
ISS-00055-19-01,PAI-00055,2025-07-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,LOW
ISS-00055-21-01,PAI-00055,2025-09-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00055-24-01,PAI-00055,2025-12-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00056-01-01,PAI-00056,2024-01-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00056-01-02,PAI-00056,2024-01-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,LOW
ISS-00056-06-01,PAI-00056,2024-06-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,HIGH
ISS-00056-08-01,PAI-00056,2024-08-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00056-09-01,PAI-00056,2024-09-30,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00056-09-02,PAI-00056,2024-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00056-10-01,PAI-00056,2024-10-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00056-11-01,PAI-00056,2024-11-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00056-11-02,PAI-00056,2024-11-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,LOW
ISS-00056-12-01,PAI-00056,2024-12-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,HIGH
ISS-00056-13-01,PAI-00056,2025-01-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00056-15-01,PAI-00056,2025-03-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00056-16-01,PAI-00056,2025-04-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00056-18-01,PAI-00056,2025-06-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00056-18-02,PAI-00056,2025-06-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,LOW
ISS-00056-18-03,PAI-00056,2025-06-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00056-20-01,PAI-00056,2025-08-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
ISS-00056-20-02,PAI-00056,2025-08-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00056-21-01,PAI-00056,2025-09-30,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00056-21-02,PAI-00056,2025-09-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,HIGH
ISS-00056-23-01,PAI-00056,2025-11-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,RESOLVED,LOW
ISS-00056-23-02,PAI-00056,2025-11-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00056-24-01,PAI-00056,2025-12-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,MEDIUM
ISS-00056-24-02,PAI-00056,2025-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00057-03-01,PAI-00057,2024-03-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,HIGH
ISS-00057-05-01,PAI-00057,2024-05-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,LOW
ISS-00057-12-01,PAI-00057,2024-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,LOW
ISS-00057-14-01,PAI-00057,2025-02-28,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,HIGH
ISS-00057-15-01,PAI-00057,2025-03-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00057-21-01,PAI-00057,2025-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00057-21-02,PAI-00057,2025-09-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,LOW
ISS-00058-18-01,PAI-00058,2025-06-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00058-18-02,PAI-00058,2025-06-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00059-03-01,PAI-00059,2024-03-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,HIGH
ISS-00059-04-01,PAI-00059,2024-04-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00059-07-01,PAI-00059,2024-07-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00059-08-01,PAI-00059,2024-08-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00059-10-01,PAI-00059,2024-10-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00059-13-01,PAI-00059,2025-01-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00059-14-01,PAI-00059,2025-02-28,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,RESOLVED,HIGH
ISS-00059-17-01,PAI-00059,2025-05-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00059-18-01,PAI-00059,2025-06-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00059-19-01,PAI-00059,2025-07-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00059-19-02,PAI-00059,2025-07-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,HIGH
ISS-00059-20-01,PAI-00059,2025-08-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00059-20-02,PAI-00059,2025-08-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00059-23-01,PAI-00059,2025-11-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00059-23-02,PAI-00059,2025-11-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00060-14-01,PAI-00060,2025-02-28,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,MEDIUM
ISS-00060-21-01,PAI-00060,2025-09-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,LOW
ISS-00060-22-01,PAI-00060,2025-10-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00061-06-01,PAI-00061,2024-06-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00061-08-01,PAI-00061,2024-08-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,LOW
ISS-00061-10-01,PAI-00061,2024-10-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00061-11-01,PAI-00061,2024-11-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00061-16-01,PAI-00061,2025-04-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00061-17-01,PAI-00061,2025-05-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,RESOLVED,LOW
ISS-00061-20-01,PAI-00061,2025-08-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00061-21-01,PAI-00061,2025-09-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,HIGH
ISS-00061-21-02,PAI-00061,2025-09-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00061-21-03,PAI-00061,2025-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,LOW
ISS-00061-21-04,PAI-00061,2025-09-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00061-22-01,PAI-00061,2025-10-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00061-23-01,PAI-00061,2025-11-30,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00061-24-01,PAI-00061,2025-12-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,LOW
ISS-00062-01-01,PAI-00062,2024-01-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,OPEN,LOW
ISS-00062-02-01,PAI-00062,2024-02-29,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00062-03-01,PAI-00062,2024-03-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00062-05-01,PAI-00062,2024-05-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00062-06-01,PAI-00062,2024-06-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00062-12-01,PAI-00062,2024-12-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00062-12-02,PAI-00062,2024-12-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-14-01,PAI-00062,2025-02-28,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-14-02,PAI-00062,2025-02-28,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00062-15-01,PAI-00062,2025-03-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-16-01,PAI-00062,2025-04-30,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-17-01,PAI-00062,2025-05-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-17-02,PAI-00062,2025-05-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00062-17-03,PAI-00062,2025-05-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,MEDIUM
ISS-00062-18-01,PAI-00062,2025-06-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00062-21-01,PAI-00062,2025-09-30,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,MEDIUM
