snapshot_id,internal_project_id,reporting_date,planned_progress_pct,physical_progress_pct,planned_expenditure_cr,period_expenditure_cr,cumulative_expenditure_cr,milestones_planned,milestones_completed,delay_days
SNP-00112-11,PAI-00112,2024-11-30,45.5,45.84,134.76,7.65,128.25,2,2,0
SNP-00112-12,PAI-00112,2024-12-31,51.65,53.38,153.0,11.35,139.6,2,2,0
SNP-00112-13,PAI-00112,2025-01-31,53.45,61.37,158.33,37.48,177.08,1,1,0
SNP-00112-14,PAI-00112,2025-02-28,58.77,67.14,174.09,42.76,219.85,3,3,0
SNP-00112-15,PAI-00112,2025-03-31,63.07,67.19,186.83,0.0,219.85,2,2,0
SNP-00112-16,PAI-00112,2025-04-30,69.54,75.99,206.0,0.0,219.85,2,2,0
SNP-00112-17,PAI-00112,2025-05-31,72.64,77.24,215.16,26.26,246.11,2,2,0
SNP-00112-18,PAI-00112,2025-06-30,76.06,79.67,225.29,0.0,246.11,2,2,0
SNP-00112-19,PAI-00112,2025-07-31,79.2,83.72,234.6,0.0,246.11,2,2,0
SNP-00112-20,PAI-00112,2025-08-31,84.09,86.08,249.09,9.88,255.99,1,1,0
SNP-00112-21,PAI-00112,2025-09-30,89.4,94.75,264.81,0.0,255.99,3,2,0
SNP-00112-22,PAI-00112,2025-10-31,93.45,99.61,276.8,6.66,262.65,2,2,0
SNP-00112-23,PAI-00112,2025-11-30,99.41,100.0,294.45,21.13,283.79,2,2,0
SNP-00112-24,PAI-00112,2025-12-31,100.0,100.0,296.21,11.13,294.92,1,1,0
SNP-00113-01,PAI-00113,2024-01-31,0.0,5.49,0.0,7.48,7.48,2,2,0
SNP-00113-02,PAI-00113,2024-02-29,4.18,5.67,6.85,0.0,7.48,2,2,2
SNP-00113-03,PAI-00113,2024-03-31,10.65,7.9,17.47,1.96,9.45,2,1,3
SNP-00113-04,PAI-00113,2024-04-30,11.23,14.86,18.43,17.58,27.03,2,2,1
SNP-00113-05,PAI-00113,2024-05-31,19.38,18.55,31.81,7.25,34.28,3,3,1
SNP-00113-06,PAI-00113,2024-06-30,26.22,23.64,43.03,2.3,36.58,1,1,1
SNP-00113-07,PAI-00113,2024-07-31,27.35,28.93,44.9,8.9,45.48,3,3,0
SNP-00113-08,PAI-00113,2024-08-31,31.88,28.93,52.32,0.0,45.48,1,1,3
SNP-00113-09,PAI-00113,2024-09-30,35.25,36.83,57.85,12.54,58.02,3,3,0
SNP-00113-10,PAI-00113,2024-10-31,39.53,40.96,64.89,9.2,67.22,2,2,0
SNP-00113-11,PAI-00113,2024-11-30,44.08,41.04,72.36,4.98,72.2,2,2,3
SNP-00113-12,PAI-00113,2024-12-31,52.14,44.2,85.58,0.0,72.2,3,2,4
SNP-00113-13,PAI-00113,2025-01-31,54.85,47.57,90.04,0.0,72.2,1,1,5
SNP-00113-14,PAI-00113,2025-02-28,58.01,52.38,95.21,19.53,91.73,2,2,4
SNP-00113-15,PAI-00113,2025-03-31,64.48,55.68,105.83,0.0,91.73,1,1,5
SNP-00113-16,PAI-00113,2025-04-30,67.39,61.93,110.62,7.16,98.9,3,3,3
SNP-00113-17,PAI-00113,2025-05-31,72.47,64.19,118.94,10.91,109.81,2,2,5
SNP-00113-18,PAI-00113,2025-06-30,77.15,65.74,126.63,0.0,109.81,2,1,7
SNP-00113-19,PAI-00113,2025-07-31,80.45,70.69,132.05,4.84,114.64,1,1,6
SNP-00113-20,PAI-00113,2025-08-31,85.77,75.03,140.79,0.0,114.64,2,1,6
SNP-00113-21,PAI-00113,2025-09-30,88.13,79.22,144.65,13.8,128.44,1,1,6
SNP-00113-22,PAI-00113,2025-10-31,93.37,79.22,153.25,0.0,128.44,3,3,9
SNP-00113-23,PAI-00113,2025-11-30,99.94,86.25,164.04,17.17,145.61,2,1,7
SNP-00113-24,PAI-00113,2025-12-31,100.0,86.25,164.14,1.49,147.1,2,2,11
SNP-00114-01,PAI-00114,2024-01-31,0.0,0.0,0.0,1.0,1.0,2,0,3
SNP-00114-02,PAI-00114,2024-02-29,3.22,6.04,7.3,8.63,9.64,2,2,1
SNP-00114-03,PAI-00114,2024-03-31,7.64,9.46,17.32,12.56,22.19,1,1,2
SNP-00114-04,PAI-00114,2024-04-30,13.3,11.68,30.18,2.12,24.31,2,1,3
SNP-00114-05,PAI-00114,2024-05-31,17.11,15.94,38.81,8.89,33.21,2,2,3
SNP-00114-06,PAI-00114,2024-06-30,22.16,15.94,50.29,0.0,33.21,2,1,7
SNP-00114-07,PAI-00114,2024-07-31,27.31,18.99,61.97,14.2,47.41,2,1,8
SNP-00114-08,PAI-00114,2024-08-31,30.89,23.95,70.09,5.11,52.51,3,2,7
SNP-00114-09,PAI-00114,2024-09-30,35.73,24.46,81.07,0.0,52.51,1,1,10
SNP-00114-10,PAI-00114,2024-10-31,39.97,28.75,90.69,7.85,60.36,2,1,10
SNP-00114-11,PAI-00114,2024-11-30,46.29,32.83,105.01,19.3,79.66,2,1,10
SNP-00114-12,PAI-00114,2024-12-31,50.2,32.83,113.9,0.0,79.66,1,1,13
SNP-00114-13,PAI-00114,2025-01-31,54.61,32.83,123.91,0.0,79.66,2,1,17
SNP-00114-14,PAI-00114,2025-02-28,59.1,40.55,134.08,0.38,80.04,2,1,14
SNP-00114-15,PAI-00114,2025-03-31,63.6,40.69,144.3,8.14,88.18,2,1,17
SNP-00114-16,PAI-00114,2025-04-30,65.48,45.72,148.57,10.73,98.91,2,1,16
SNP-00114-17,PAI-00114,2025-05-31,71.87,50.15,163.07,0.0,98.91,3,2,16
SNP-00114-18,PAI-00114,2025-06-30,77.17,51.21,175.08,21.55,120.46,2,1,19
SNP-00114-19,PAI-00114,2025-07-31,82.84,53.81,187.96,0.0,120.46,3,2,20
SNP-00114-20,PAI-00114,2025-08-31,84.05,54.96,190.69,8.97,129.44,2,1,22
SNP-00114-21,PAI-00114,2025-09-30,90.18,60.65,204.61,0.81,130.25,2,1,21
SNP-00114-22,PAI-00114,2025-10-31,94.2,60.65,213.73,0.0,130.25,2,1,24
SNP-00114-23,PAI-00114,2025-11-30,97.85,64.38,221.99,19.11,149.36,2,1,25
SNP-00114-24,PAI-00114,2025-12-31,100.0,68.03,226.88,0.0,149.36,2,1,25
SNP-00115-01,PAI-00115,2024-01-31,2.2,6.17,3.52,6.54,6.54,1,1,0
SNP-00115-02,PAI-00115,2024-02-29,6.43,7.37,10.29,2.76,9.3,2,2,0
SNP-00115-03,PAI-00115,2024-03-31,9.47,9.46,15.15,7.17,16.48,2,2,2
SNP-00115-04,PAI-00115,2024-04-30,14.19,9.46,22.69,0.0,16.48,3,2,5
SNP-00115-05,PAI-00115,2024-05-31,18.44,12.57,29.5,1.96,18.44,2,1,6
SNP-00115-06,PAI-00115,2024-06-30,23.79,14.97,38.06,4.65,23.09,2,1,8
SNP-00115-07,PAI-00115,2024-07-31,27.16,17.73,43.45,5.75,28.84,2,1,9
SNP-00115-08,PAI-00115,2024-08-31,32.63,17.73,52.19,0.0,28.84,2,1,12
SNP-00115-09,PAI-00115,2024-09-30,36.47,17.73,58.34,0.0,28.84,2,1,15
SNP-00115-10,PAI-00115,2024-10-31,41.48,21.94,66.34,0.94,29.78,1,0,15
SNP-00115-11,PAI-00115,2024-11-30,44.49,25.56,71.15,9.64,39.42,2,1,16
SNP-00115-12,PAI-00115,2024-12-31,49.85,25.56,79.73,0.0,39.42,2,1,19
SNP-00115-13,PAI-00115,2025-01-31,53.33,29.88,85.3,7.96,47.38,1,1,19
SNP-00115-14,PAI-00115,2025-02-28,56.75,29.88,90.77,0.0,47.38,2,1,22
SNP-00115-15,PAI-00115,2025-03-31,61.76,31.15,98.78,0.0,47.38,2,1,25
SNP-00115-16,PAI-00115,2025-04-30,67.53,36.97,108.01,4.89,52.28,2,1,23
SNP-00115-17,PAI-00115,2025-05-31,71.7,36.97,114.68,0.0,52.28,1,0,27
SNP-00115-18,PAI-00115,2025-06-30,78.57,37.98,125.66,11.1,63.38,3,1,29
SNP-00115-19,PAI-00115,2025-07-31,81.2,39.72,129.87,0.0,63.38,2,1,31
SNP-00115-20,PAI-00115,2025-08-31,85.41,41.56,136.61,0.0,63.38,2,1,33
SNP-00115-21,PAI-00115,2025-09-30,90.4,41.79,144.58,2.48,65.86,2,1,36
SNP-00115-22,PAI-00115,2025-10-31,96.15,43.13,153.79,0.0,65.86,2,1,38
SNP-00115-23,PAI-00115,2025-11-30,97.58,49.0,156.07,19.27,85.13,2,1,37
SNP-00115-24,PAI-00115,2025-12-31,100.0,50.5,159.94,0.0,85.13,2,1,39
SNP-00116-01,PAI-00116,2024-01-31,0.0,2.53,0.0,5.85,5.85,3,3,2
SNP-00116-02,PAI-00116,2024-02-29,3.91,2.76,7.8,0.0,5.85,2,1,8
SNP-00116-03,PAI-00116,2024-03-31,11.22,2.76,22.36,0.88,6.73,2,1,14
SNP-00116-04,PAI-00116,2024-04-30,14.23,7.4,28.38,7.17,13.91,2,1,13
SNP-00116-05,PAI-00116,2024-05-31,18.65,7.4,37.19,0.0,13.91,2,1,20
SNP-00116-06,PAI-00116,2024-06-30,22.15,15.6,44.16,10.98,24.88,2,1,14
SNP-00116-07,PAI-00116,2024-07-31,26.17,15.6,52.18,0.52,25.4,2,1,20
SNP-00116-08,PAI-00116,2024-08-31,31.52,16.91,62.84,5.16,30.57,3,1,24
SNP-00116-09,PAI-00116,2024-09-30,34.49,16.91,68.77,0.43,30.99,3,2,30
SNP-00116-10,PAI-00116,2024-10-31,39.28,17.71,78.32,7.36,38.36,2,1,35
SNP-00116-11,PAI-00116,2024-11-30,45.23,20.77,90.19,0.0,38.36,1,0,37
SNP-00116-12,PAI-00116,2024-12-31,48.79,26.4,97.28,15.42,53.77,3,2,35
SNP-00116-13,PAI-00116,2025-01-31,53.71,28.5,107.1,6.49,60.26,2,1,38
SNP-00116-14,PAI-00116,2025-02-28,58.38,28.5,116.4,0.0,60.26,2,1,44
SNP-00116-15,PAI-00116,2025-03-31,63.56,29.8,126.73,0.0,60.26,2,1,49
SNP-00116-16,PAI-00116,2025-04-30,66.76,31.29,133.11,8.63,68.89,1,0,53
SNP-00116-17,PAI-00116,2025-05-31,74.93,33.23,149.4,0.97,69.86,3,1,56
SNP-00116-18,PAI-00116,2025-06-30,77.1,34.72,153.74,6.9,76.76,2,1,60
SNP-00116-19,PAI-00116,2025-07-31,81.15,37.36,161.81,0.0,76.76,2,1,62
SNP-00116-20,PAI-00116,2025-08-31,85.9,37.36,171.28,0.0,76.76,2,1,68
SNP-00116-21,PAI-00116,2025-09-30,90.5,41.87,180.46,1.12,77.88,2,1,68
SNP-00116-22,PAI-00116,2025-10-31,94.69,42.83,188.8,2.94,80.82,3,1,73
SNP-00116-23,PAI-00116,2025-11-30,99.53,44.75,198.45,0.0,80.82,3,1,76
SNP-00116-24,PAI-00116,2025-12-31,100.0,45.82,199.39,9.73,90.55,2,1,81
SNP-00117-01,PAI-00117,2024-01-31,0.0,3.12,0.0,1.49,1.49,2,2,0
SNP-00117-02,PAI-00117,2024-02-29,3.65,10.93,5.55,11.43,12.92,2,2,0
SNP-00117-03,PAI-00117,2024-03-31,9.28,10.93,14.11,3.04,15.96,2,2,1
SNP-00117-04,PAI-00117,2024-04-30,11.42,13.39,17.36,4.36,20.32,2,2,2
SNP-00117-05,PAI-00117,2024-05-31,17.16,21.06,26.08,5.92,26.24,1,1,0
SNP-00117-06,PAI-00117,2024-06-30,25.44,22.17,38.66,4.05,30.29,1,1,2
SNP-00117-07,PAI-00117,2024-07-31,27.65,23.0,42.03,8.01,38.3,3,2,4
SNP-00117-08,PAI-00117,2024-08-31,32.86,27.84,49.94,5.45,43.75,2,1,4
SNP-00117-09,PAI-00117,2024-09-30,35.5,35.6,53.95,7.3,51.05,2,2,1
SNP-00117-10,PAI-00117,2024-10-31,38.62,38.14,58.69,6.53,57.58,2,2,2
SNP-00117-11,PAI-00117,2024-11-30,47.14,44.58,71.64,0.0,57.58,3,2,0
SNP-00117-12,PAI-00117,2024-12-31,48.41,44.98,73.57,18.41,75.99,2,2,4
SNP-00117-13,PAI-00117,2025-01-31,51.18,52.67,77.78,0.0,75.99,1,1,1
SNP-00117-14,PAI-00117,2025-02-28,60.39,54.99,91.78,3.6,79.59,2,1,2
SNP-00117-15,PAI-00117,2025-03-31,63.4,55.93,96.36,0.0,79.59,1,1,5
SNP-00117-16,PAI-00117,2025-04-30,65.65,62.76,99.78,16.29,95.88,3,3,3
SNP-00117-17,PAI-00117,2025-05-31,72.71,64.5,110.5,4.56,100.44,2,1,5
SNP-00117-18,PAI-00117,2025-06-30,76.11,67.3,115.68,0.0,100.44,2,2,6
SNP-00117-19,PAI-00117,2025-07-31,80.3,74.16,122.04,0.0,100.44,2,2,4
SNP-00117-20,PAI-00117,2025-08-31,85.85,77.09,130.48,17.5,117.94,2,2,4
SNP-00117-21,PAI-00117,2025-09-30,89.47,80.34,135.98,6.0,123.94,2,2,5
SNP-00117-22,PAI-00117,2025-10-31,93.89,81.98,142.69,0.0,123.94,3,2,7
SNP-00117-23,PAI-00117,2025-11-30,100.0,86.67,151.98,4.26,128.2,2,2,7
SNP-00117-24,PAI-00117,2025-12-31,100.0,90.75,151.98,5.09,133.29,3,3,7
SNP-00118-01,PAI-00118,2024-01-31,0.0,4.03,0.0,5.57,5.57,3,3,0
SNP-00118-02,PAI-00118,2024-02-29,5.06,9.11,7.58,8.03,13.6,3,3,0
SNP-00118-03,PAI-00118,2024-03-31,8.61,14.62,12.91,9.74,23.33,2,2,0
SNP-00118-04,PAI-00118,2024-04-30,12.78,16.86,19.17,3.88,27.22,2,2,0
SNP-00118-05,PAI-00118,2024-05-31,20.09,16.86,30.14,0.0,27.22,1,1,3
SNP-00118-06,PAI-00118,2024-06-30,21.95,23.17,32.93,7.04,34.26,2,2,1
SNP-00118-07,PAI-00118,2024-07-31,28.37,32.43,42.56,14.4,48.66,2,2,0
SNP-00118-08,PAI-00118,2024-08-31,31.13,32.43,46.69,0.81,49.47,3,3,0
SNP-00118-09,PAI-00118,2024-09-30,35.99,35.45,53.98,0.0,49.47,3,3,1
SNP-00118-10,PAI-00118,2024-10-31,42.1,38.74,63.16,13.34,62.81,2,2,2
SNP-00118-11,PAI-00118,2024-11-30,45.9,43.4,68.85,9.45,72.26,3,2,1
SNP-00118-12,PAI-00118,2024-12-31,48.57,45.25,72.86,0.0,72.26,2,2,3
SNP-00118-13,PAI-00118,2025-01-31,50.85,50.98,76.27,3.69,75.95,2,2,2
SNP-00118-14,PAI-00118,2025-02-28,57.7,52.53,86.55,4.79,80.75,2,1,4
SNP-00118-15,PAI-00118,2025-03-31,61.86,56.35,92.79,0.0,80.75,1,1,4
SNP-00118-16,PAI-00118,2025-04-30,68.57,62.6,102.85,15.97,96.72,3,2,3
SNP-00118-17,PAI-00118,2025-05-31,72.25,66.16,108.38,0.0,96.72,2,2,3
SNP-00118-18,PAI-00118,2025-06-30,78.31,71.38,117.47,17.12,113.83,2,1,2
SNP-00118-19,PAI-00118,2025-07-31,81.45,74.78,122.17,0.0,113.83,3,2,3
SNP-00118-20,PAI-00118,2025-08-31,86.85,77.36,130.27,0.0,113.83,1,1,4
SNP-00118-21,PAI-00118,2025-09-30,92.99,77.79,139.49,10.8,124.64,2,2,7
SNP-00118-22,PAI-00118,2025-10-31,93.47,84.03,140.21,12.19,136.82,2,2,6
SNP-00118-23,PAI-00118,2025-11-30,96.86,88.53,145.29,0.0,136.82,3,3,5
SNP-00118-24,PAI-00118,2025-12-31,100.0,91.47,150.0,0.0,136.82,2,2,6
SNP-00119-01,PAI-00119,2024-01-31,1.03,1.65,2.73,6.9,6.9,1,1,2
SNP-00119-02,PAI-00119,2024-02-29,4.27,2.74,11.32,0.0,6.9,3,2,4
SNP-00119-03,PAI-00119,2024-03-31,10.41,12.39,27.58,24.88,31.78,2,2,0
SNP-00119-04,PAI-00119,2024-04-30,11.23,17.12,29.75,9.25,41.03,1,1,0
SNP-00119-05,PAI-00119,2024-05-31,16.47,25.9,43.61,15.19,56.22,3,3,0
SNP-00119-06,PAI-00119,2024-06-30,24.52,25.9,64.92,0.0,56.22,1,1,0
SNP-00119-07,PAI-00119,2024-07-31,27.51,29.16,72.85,15.17,71.39,2,2,0
SNP-00119-08,PAI-00119,2024-08-31,29.9,34.64,79.18,12.02,83.41,2,2,0
SNP-00119-09,PAI-00119,2024-09-30,35.51,40.04,94.05,8.29,91.7,1,1,0
SNP-00119-10,PAI-00119,2024-10-31,40.06,43.08,106.08,2.32,94.02,2,2,0
SNP-00119-11,PAI-00119,2024-11-30,44.6,47.69,118.09,17.87,111.89,2,2,0
SNP-00119-12,PAI-00119,2024-12-31,49.1,54.55,130.03,40.4,152.28,2,2,0
SNP-00119-13,PAI-00119,2025-01-31,53.74,59.04,142.32,0.0,152.28,1,1,0
SNP-00119-14,PAI-00119,2025-02-28,58.14,61.23,153.96,1.61,153.89,3,2,0
SNP-00119-15,PAI-00119,2025-03-31,62.6,68.2,165.78,6.84,160.73,2,2,0
SNP-00119-16,PAI-00119,2025-04-30,65.08,72.15,172.33,9.43,170.16,3,3,0
SNP-00119-17,PAI-00119,2025-05-31,71.75,76.57,190.0,23.26,193.42,2,2,0
SNP-00119-18,PAI-00119,2025-06-30,73.37,78.68,194.3,0.0,193.42,3,3,0
SNP-00119-19,PAI-00119,2025-07-31,79.72,84.58,211.11,39.87,233.28,3,3,0
SNP-00119-20,PAI-00119,2025-08-31,83.89,88.57,222.16,0.0,233.28,1,1,0
SNP-00119-21,PAI-00119,2025-09-30,90.44,93.25,239.48,24.66,257.94,2,2,0
SNP-00119-22,PAI-00119,2025-10-31,94.15,97.24,249.33,0.0,257.94,2,2,0
SNP-00119-23,PAI-00119,2025-11-30,100.0,100.0,264.81,0.0,257.94,1,1,0
SNP-00119-24,PAI-00119,2025-12-31,100.0,100.0,264.81,0.0,257.94,1,1,0
SNP-00120-01,PAI-00120,2024-01-31,1.99,3.85,15.54,30.73,30.73,1,1,0
SNP-00120-02,PAI-00120,2024-02-29,4.81,7.31,37.48,20.51,51.24,2,2,0
SNP-00120-03,PAI-00120,2024-03-31,10.73,13.87,83.73,50.01,101.25,2,2,0
SNP-00120-04,PAI-00120,2024-04-30,12.58,15.64,98.11,14.31,115.56,2,2,0
SNP-00120-05,PAI-00120,2024-05-31,18.81,20.14,146.7,25.54,141.1,3,3,0
SNP-00120-06,PAI-00120,2024-06-30,21.6,24.43,168.49,55.51,196.61,2,2,0
SNP-00120-07,PAI-00120,2024-07-31,26.03,28.63,203.07,15.46,212.07,3,3,0
SNP-00120-08,PAI-00120,2024-08-31,30.8,30.41,240.26,5.36,217.43,2,2,2
SNP-00120-09,PAI-00120,2024-09-30,35.84,33.42,279.54,43.84,261.27,2,1,3
SNP-00120-10,PAI-00120,2024-10-31,41.81,34.08,326.15,0.0,261.27,1,1,6
SNP-00120-11,PAI-00120,2024-11-30,45.28,41.93,353.22,65.84,327.11,2,2,3
SNP-00120-12,PAI-00120,2024-12-31,50.46,43.72,393.59,0.0,327.11,2,1,5
SNP-00120-13,PAI-00120,2025-01-31,52.45,51.08,409.14,22.55,349.66,3,3,2
SNP-00120-14,PAI-00120,2025-02-28,58.86,54.07,459.15,10.87,360.53,1,1,3
SNP-00120-15,PAI-00120,2025-03-31,62.88,57.98,490.5,31.7,392.23,3,2,3
SNP-00120-16,PAI-00120,2025-04-30,66.59,59.33,519.45,7.16,399.39,1,1,5
SNP-00120-17,PAI-00120,2025-05-31,72.8,64.05,567.87,3.75,403.13,1,1,5
SNP-00120-18,PAI-00120,2025-06-30,76.38,69.4,595.79,76.92,480.06,2,2,4
SNP-00120-19,PAI-00120,2025-07-31,80.24,73.55,625.87,29.52,509.57,2,1,4
SNP-00120-20,PAI-00120,2025-08-31,85.66,73.82,668.22,97.03,606.61,2,2,7
SNP-00120-21,PAI-00120,2025-09-30,90.64,78.58,706.99,0.0,606.61,3,2,7
SNP-00120-22,PAI-00120,2025-10-31,93.77,79.29,731.43,42.35,648.96,2,1,9
SNP-00120-23,PAI-00120,2025-11-30,99.85,83.91,778.88,0.0,648.96,2,2,9
SNP-00120-24,PAI-00120,2025-12-31,100.0,87.12,780.04,29.43,678.39,1,1,10
SNP-00121-01,PAI-00121,2024-01-31,0.85,1.92,1.61,3.07,3.07,2,2,3
SNP-00121-02,PAI-00121,2024-02-29,3.39,7.2,6.42,4.75,7.82,3,3,1
SNP-00121-03,PAI-00121,2024-03-31,10.96,10.27,20.79,11.88,19.7,2,2,3
SNP-00121-04,PAI-00121,2024-04-30,12.12,13.72,22.99,1.85,21.55,3,3,4
SNP-00121-05,PAI-00121,2024-05-31,18.69,14.53,35.44,5.39,26.94,2,1,9
SNP-00121-06,PAI-00121,2024-06-30,20.9,15.27,39.64,0.0,26.94,1,1,14
SNP-00121-07,PAI-00121,2024-07-31,29.1,15.57,55.18,0.0,26.94,2,1,20
SNP-00121-08,PAI-00121,2024-08-31,32.81,18.23,62.22,0.0,26.94,3,1,22
SNP-00121-09,PAI-00121,2024-09-30,35.49,20.62,67.29,1.16,28.09,3,2,25
SNP-00121-10,PAI-00121,2024-10-31,40.27,20.97,76.36,13.3,41.39,2,1,31
SNP-00121-11,PAI-00121,2024-11-30,45.25,23.37,85.8,4.54,45.93,2,1,33
SNP-00121-12,PAI-00121,2024-12-31,49.04,29.08,92.98,2.19,48.12,2,1,31
SNP-00121-13,PAI-00121,2025-01-31,55.24,33.61,104.74,13.6,61.72,1,0,30
SNP-00121-14,PAI-00121,2025-02-28,58.59,33.61,111.1,0.0,61.72,1,1,37
SNP-00121-15,PAI-00121,2025-03-31,63.73,36.3,120.85,0.0,61.72,2,1,39
SNP-00121-16,PAI-00121,2025-04-30,66.58,36.3,126.24,0.0,61.72,2,1,45
SNP-00121-17,PAI-00121,2025-05-31,70.79,39.64,134.22,3.91,65.64,3,1,46
SNP-00121-18,PAI-00121,2025-06-30,76.29,41.49,144.66,0.0,65.64,3,1,50
SNP-00121-19,PAI-00121,2025-07-31,82.61,43.57,156.65,3.66,69.3,1,0,53
SNP-00121-20,PAI-00121,2025-08-31,86.44,45.97,163.91,2.18,71.47,2,1,56
SNP-00121-21,PAI-00121,2025-09-30,89.72,50.88,170.13,23.51,94.99,2,1,54
SNP-00121-22,PAI-00121,2025-10-31,94.64,52.06,179.45,3.85,98.84,2,1,59
SNP-00121-23,PAI-00121,2025-11-30,99.29,53.0,188.28,0.0,98.84,2,1,64
SNP-00121-24,PAI-00121,2025-12-31,100.0,54.54,189.62,0.0,98.84,2,1,68
SNP-00122-01,PAI-00122,2024-01-31,0.71,7.06,2.03,12.17,12.17,1,1,0
SNP-00122-02,PAI-00122,2024-02-29,3.32,9.24,9.52,17.37,29.54,2,2,0
SNP-00122-03,PAI-00122,2024-03-31,8.08,9.25,23.14,0.0,29.54,2,2,2
SNP-00122-04,PAI-00122,2024-04-30,12.21,17.27,34.99,12.39,41.93,3,3,0
SNP-00122-05,PAI-00122,2024-05-31,19.85,20.58,56.87,3.24,45.17,2,2,0
SNP-00122-06,PAI-00122,2024-06-30,23.33,23.03,66.84,21.11,66.28,2,2,1
SNP-00122-07,PAI-00122,2024-07-31,27.31,27.15,78.24,0.0,66.28,3,3,1
SNP-00122-08,PAI-00122,2024-08-31,32.24,33.86,92.38,11.55,77.83,3,3,0
SNP-00122-09,PAI-00122,2024-09-30,37.24,33.86,106.69,7.36,85.18,1,1,2
SNP-00122-10,PAI-00122,2024-10-31,38.42,38.38,110.09,24.81,109.99,3,2,2
SNP-00122-11,PAI-00122,2024-11-30,44.86,42.11,128.55,0.0,109.99,2,2,2
SNP-00122-12,PAI-00122,2024-12-31,48.97,43.88,140.31,14.78,124.78,2,1,4
SNP-00122-13,PAI-00122,2025-01-31,54.4,51.57,155.86,10.22,135.0,1,1,2
SNP-00122-14,PAI-00122,2025-02-28,58.65,53.37,168.05,0.0,135.0,2,1,3
SNP-00122-15,PAI-00122,2025-03-31,63.47,55.32,181.85,16.27,151.27,3,2,5
SNP-00122-16,PAI-00122,2025-04-30,69.22,55.32,198.34,0.0,151.27,2,1,9
SNP-00122-17,PAI-00122,2025-05-31,71.75,60.72,205.57,27.18,178.45,2,1,8
SNP-00122-18,PAI-00122,2025-06-30,79.82,62.47,228.71,0.0,178.45,2,1,10
SNP-00122-19,PAI-00122,2025-07-31,79.82,70.02,228.7,0.0,178.45,2,2,7
SNP-00122-20,PAI-00122,2025-08-31,85.47,76.87,244.88,33.21,211.65,2,1,5
SNP-00122-21,PAI-00122,2025-09-30,91.16,79.5,261.18,4.75,216.41,2,2,6
SNP-00122-22,PAI-00122,2025-10-31,93.91,80.46,269.06,0.0,216.41,2,1,8
SNP-00122-23,PAI-00122,2025-11-30,98.72,80.59,282.86,0.0,216.41,1,1,12
SNP-00122-24,PAI-00122,2025-12-31,100.0,88.43,286.52,0.0,216.41,3,2,9
SNP-00123-01,PAI-00123,2024-01-31,0.0,0.0,0.0,1.25,1.25,3,0,3
SNP-00123-02,PAI-00123,2024-02-29,3.64,8.98,5.45,12.69,13.94,1,1,0
SNP-00123-03,PAI-00123,2024-03-31,7.41,11.95,11.12,2.4,16.34,2,2,0
SNP-00123-04,PAI-00123,2024-04-30,13.3,12.72,19.95,4.13,20.47,2,2,3
SNP-00123-05,PAI-00123,2024-05-31,18.84,19.11,28.26,10.12,30.59,2,2,1
SNP-00123-06,PAI-00123,2024-06-30,24.08,24.73,36.12,10.0,40.59,2,2,0
SNP-00123-07,PAI-00123,2024-07-31,25.69,31.93,38.54,8.79,49.38,2,2,0
SNP-00123-08,PAI-00123,2024-08-31,31.9,36.92,47.86,3.37,52.76,3,3,0
SNP-00123-09,PAI-00123,2024-09-30,36.2,38.17,54.3,5.11,57.87,2,2,0
SNP-00123-10,PAI-00123,2024-10-31,43.11,44.28,64.66,0.0,57.87,2,2,0
SNP-00123-11,PAI-00123,2024-11-30,44.97,49.04,67.46,4.95,62.82,2,2,0
SNP-00123-12,PAI-00123,2024-12-31,50.38,55.57,75.57,29.26,92.08,2,2,0
SNP-00123-13,PAI-00123,2025-01-31,52.51,55.57,78.77,0.0,92.08,2,2,0
SNP-00123-14,PAI-00123,2025-02-28,59.17,62.82,88.76,6.27,98.35,1,1,0
SNP-00123-15,PAI-00123,2025-03-31,61.75,67.59,92.63,9.64,107.99,2,2,0
SNP-00123-16,PAI-00123,2025-04-30,68.73,70.47,103.09,0.0,107.99,3,3,0
SNP-00123-17,PAI-00123,2025-05-31,73.53,75.88,110.29,0.35,108.34,2,2,0
SNP-00123-18,PAI-00123,2025-06-30,75.73,82.19,113.59,10.75,119.08,2,2,0
SNP-00123-19,PAI-00123,2025-07-31,84.42,83.23,126.63,16.28,135.36,3,3,0
SNP-00123-20,PAI-00123,2025-08-31,86.29,88.49,129.43,0.0,135.36,2,2,0
SNP-00123-21,PAI-00123,2025-09-30,88.5,94.02,132.75,0.0,135.36,2,2,0
SNP-00123-22,PAI-00123,2025-10-31,94.41,99.88,141.62,9.74,145.1,2,2,0
SNP-00123-23,PAI-00123,2025-11-30,98.07,100.0,147.11,0.13,145.24,1,1,0
SNP-00123-24,PAI-00123,2025-12-31,100.0,100.0,150.0,14.21,159.44,1,1,0
SNP-00124-01,PAI-00124,2024-01-31,1.46,1.47,3.72,4.55,4.55,2,2,2
SNP-00124-02,PAI-00124,2024-02-29,2.53,7.05,6.45,13.24,17.79,2,2,1
SNP-00124-03,PAI-00124,2024-03-31,6.18,14.34,15.76,21.64,39.42,2,2,0
SNP-00124-04,PAI-00124,2024-04-30,13.78,14.34,35.14,0.0,39.42,1,1,1
SNP-00124-05,PAI-00124,2024-05-31,16.91,20.08,43.11,8.09,47.51,2,2,0
