internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-00111,Grid Modernisation Project 111 - Assam,Ministry of Power,Power Grid Corporation,Power,Assam,Grid Modernisation,2022-07-01,2022-09-29,2026-09-29,2027-02-23,150.0,195.94,PAI26-100110,OCMS-2023-10110,PMG-50110
PAI-00112,Port Expansion Project 112 - Uttar Pradesh,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Uttar Pradesh,Port Expansion,2023-08-02,2024-04-25,2027-09-25,2027-09-25,296.21,296.21,PAI26-100111,OCMS-2024-10111,PMG-50111
PAI-00113,Air Navigation Project 113 - Kerala,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Kerala,Air Navigation,2023-08-06,2024-04-14,2028-11-14,2029-01-30,163.95,164.14,PAI26-100112,OCMS-2018-10112,PMG-50112
PAI-00114,Fiber Network Project 114 - West Bengal,Ministry of Telecommunications,RailTel,Telecom,West Bengal,Fiber Network,2022-08-17,2022-10-17,2027-10-17,2027-10-17,217.59,226.88,PAI26-100113,OCMS-2019-10113,PMG-50113
PAI-00115,Road Widening Project 115 - Madhya Pradesh,Ministry of Road Transport & Highways,NHAI,Roads,Madhya Pradesh,Road Widening,2022-08-25,2023-01-06,2026-10-06,2026-12-02,150.0,159.94,PAI26-100114,OCMS-2020-10114,PMG-50114
PAI-00116,Bridge Project 116 - Sikkim,Ministry of Railways,IRCON,Railways,Sikkim,Bridge,2022-05-05,2022-07-11,2025-04-11,2025-07-20,171.42,199.39,PAI26-100115,OCMS-2021-10115,PMG-50115
PAI-00117,Transmission Project 117 - West Bengal,Ministry of Power,NHPC,Power,West Bengal,Transmission,2023-06-28,2024-03-30,2027-12-30,2027-12-30,150.0,151.98,PAI26-100116,OCMS-2022-10116,PMG-50116
PAI-00118,Dredging Project 118 - Andhra Pradesh,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Andhra Pradesh,Dredging,2022-09-24,2023-05-07,2027-04-07,2027-04-17,150.0,150.0,PAI26-100117,OCMS-2023-10117,PMG-50117
PAI-00119,Air Navigation Project 119 - Assam,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Assam,Air Navigation,2023-09-13,2024-03-30,2028-03-30,2028-04-05,254.52,264.81,PAI26-100118,OCMS-2024-10118,PMG-50118
PAI-00120,Fiber Network Project 120 - Rajasthan,Ministry of Telecommunications,BSNL,Telecom,Rajasthan,Fiber Network,2023-06-08,2023-11-11,2027-02-11,2027-02-11,767.8,780.04,PAI26-100119,OCMS-2018-10119,PMG-50119
PAI-00121,Bridge Project 121 - West Bengal,Ministry of Road Transport & Highways,NHAI,Roads,West Bengal,Bridge,2022-05-28,2022-09-08,2026-10-08,2027-03-03,150.0,189.62,PAI26-100120,OCMS-2019-10120,PMG-50120
PAI-00122,Rail Corridor Project 122 - Maharashtra,Ministry of Railways,IRCON,Railways,Maharashtra,Rail Corridor,2022-04-18,2022-09-15,2026-02-15,2026-02-25,262.68,286.52,PAI26-100121,OCMS-2020-10121,PMG-50121
PAI-00123,Transmission Project 123 - Assam,Ministry of Power,NTPC,Power,Assam,Transmission,2023-12-10,2024-08-09,2028-06-09,2028-06-09,150.0,150.0,PAI26-100122,OCMS-2021-10122,PMG-50122
PAI-00124,Dredging Project 124 - Bihar,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Bihar,Dredging,2023-08-09,2023-11-09,2026-12-09,2027-01-28,246.69,254.97,PAI26-100123,OCMS-2022-10123,PMG-50123
PAI-00125,Terminal Project 125 - Uttarakhand,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Uttarakhand,Terminal,2022-07-06,2022-12-06,2025-02-06,2025-05-20,150.0,159.17,PAI26-100124,OCMS-2023-10124,PMG-50124
PAI-00126,Fiber Network Project 126 - Haryana,Ministry of Telecommunications,RailTel,Telecom,Haryana,Fiber Network,2023-01-05,2023-05-10,2025-06-10,2025-06-19,297.91,300.69,PAI26-100125,OCMS-2024-10125,PMG-50125
PAI-00127,National Highway Project 127 - Rajasthan,Ministry of Road Transport & Highways,NHAI,Roads,Rajasthan,National Highway,2022-11-21,2023-06-18,2026-06-18,2026-06-18,150.0,156.11,PAI26-100126,OCMS-2018-10126,PMG-50126
PAI-00128,Bridge Project 128 - West Bengal,Ministry of Railways,Indian Railways,Railways,West Bengal,Bridge,2022-02-01,2022-08-05,2025-11-05,2025-11-17,289.42,289.42,PAI26-100127,OCMS-2019-10127,PMG-50127
PAI-00129,Substation Project 129 - Andhra Pradesh,Ministry of Power,NHPC,Power,Andhra Pradesh,Substation,2023-06-21,2024-02-29,2028-08-29,2028-09-02,363.42,399.65,PAI26-100128,OCMS-2020-10128,PMG-50128
PAI-00130,Dredging Project 130 - Uttar Pradesh,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Uttar Pradesh,Dredging,2022-01-13,2022-09-14,2025-09-14,2025-09-14,232.63,242.03,PAI26-100129,OCMS-2021-10129,PMG-50129
PAI-00131,Air Navigation Project 131 - Uttar Pradesh,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Uttar Pradesh,Air Navigation,2022-05-16,2023-02-14,2026-03-14,2026-03-25,215.71,220.03,PAI26-100130,OCMS-2022-10130,PMG-50130
PAI-00132,Data Network Project 132 - Madhya Pradesh,Ministry of Telecommunications,Department of Telecommunications,Telecom,Madhya Pradesh,Data Network,2022-12-12,2023-05-27,2025-09-27,2025-12-27,687.12,703.49,PAI26-100131,OCMS-2023-10131,PMG-50131
PAI-00133,Road Widening Project 133 - Uttar Pradesh,Ministry of Road Transport & Highways,MoRTH,Roads,Uttar Pradesh,Road Widening,2022-04-18,2022-06-24,2026-10-24,2027-01-22,150.0,166.48,PAI26-100132,OCMS-2024-10132,PMG-50132
PAI-00134,Rail Corridor Project 134 - Tamil Nadu,Ministry of Railways,RVNL,Railways,Tamil Nadu,Rail Corridor,2023-07-24,2024-01-31,2026-09-30,2027-07-02,150.0,191.95,PAI26-100133,OCMS-2018-10133,PMG-50133
PAI-00135,Transmission Project 135 - Karnataka,Ministry of Power,NTPC,Power,Karnataka,Transmission,2022-07-23,2023-02-22,2025-03-22,2025-05-29,209.29,219.61,PAI26-100134,OCMS-2019-10134,PMG-50134
PAI-00136,Terminal Project 136 - Assam,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Assam,Terminal,2023-09-09,2023-12-02,2028-01-02,2028-10-06,150.0,199.52,PAI26-100135,OCMS-2020-10135,PMG-50135
PAI-00137,Terminal Project 137 - Andhra Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Andhra Pradesh,Terminal,2023-06-11,2023-09-21,2027-10-21,2027-12-23,432.43,507.01,PAI26-100136,OCMS-2021-10136,PMG-50136
PAI-00138,Tower Infrastructure Project 138 - Andhra Pradesh,Ministry of Telecommunications,BSNL,Telecom,Andhra Pradesh,Tower Infrastructure,2022-07-03,2023-02-24,2025-05-24,2025-05-24,150.0,150.0,PAI26-100137,OCMS-2022-10137,PMG-50137
PAI-00139,Bridge Project 139 - Karnataka,Ministry of Road Transport & Highways,NHIDCL,Roads,Karnataka,Bridge,2023-08-10,2023-12-22,2026-12-22,2026-12-30,150.0,159.31,PAI26-100138,OCMS-2023-10138,PMG-50138
PAI-00140,Rail Corridor Project 140 - Assam,Ministry of Railways,Indian Railways,Railways,Assam,Rail Corridor,2022-05-05,2023-01-20,2027-07-20,2027-08-03,150.0,166.07,PAI26-100139,OCMS-2024-10139,PMG-50139
PAI-00141,Grid Modernisation Project 141 - Punjab,Ministry of Power,NHPC,Power,Punjab,Grid Modernisation,2023-09-22,2023-12-10,2026-09-10,2027-01-29,150.0,187.44,PAI26-100140,OCMS-2018-10140,PMG-50140
PAI-00142,Dredging Project 142 - Uttar Pradesh,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Uttar Pradesh,Dredging,2022-03-03,2022-08-25,2024-08-25,2024-12-04,338.89,405.72,PAI26-100141,OCMS-2019-10141,PMG-50141
PAI-00143,Air Navigation Project 143 - Bihar,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Bihar,Air Navigation,2023-03-02,2023-06-13,2025-11-13,2026-02-17,150.0,176.69,PAI26-100142,OCMS-2020-10142,PMG-50142
PAI-00144,Fiber Network Project 144 - Kerala,Ministry of Telecommunications,Department of Telecommunications,Telecom,Kerala,Fiber Network,2022-09-13,2023-05-16,2026-03-16,2026-03-16,150.0,151.54,PAI26-100143,OCMS-2021-10143,PMG-50143
PAI-00145,Expressway Project 145 - Haryana,Ministry of Road Transport & Highways,MoRTH,Roads,Haryana,Expressway,2023-09-18,2024-05-17,2027-08-17,2027-10-12,150.0,161.18,PAI26-100144,OCMS-2022-10144,PMG-50144
PAI-00146,Electrification Project 146 - Jharkhand,Ministry of Railways,IRCON,Railways,Jharkhand,Electrification,2022-04-28,2023-01-19,2026-10-19,2026-12-08,150.0,157.03,PAI26-100145,OCMS-2023-10145,PMG-50145
PAI-00147,Grid Modernisation Project 147 - Odisha,Ministry of Power,Power Grid Corporation,Power,Odisha,Grid Modernisation,2022-06-28,2023-03-22,2027-11-22,2028-02-15,651.76,729.53,PAI26-100146,OCMS-2024-10146,PMG-50146
PAI-00148,Dredging Project 148 - Bihar,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Bihar,Dredging,2022-10-26,2023-03-03,2027-09-03,2028-02-06,348.12,417.87,PAI26-100147,OCMS-2018-10147,PMG-50147
PAI-00149,Airport Expansion Project 149 - Tamil Nadu,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Tamil Nadu,Airport Expansion,2022-03-24,2022-11-25,2027-08-25,2027-10-15,150.0,171.12,PAI26-100148,OCMS-2019-10148,PMG-50148
PAI-00150,Fiber Network Project 150 - Assam,Ministry of Telecommunications,RailTel,Telecom,Assam,Fiber Network,2023-05-08,2023-09-20,2027-02-20,2027-02-20,179.41,189.47,PAI26-100149,OCMS-2020-10149,PMG-50149
PAI-00151,Bridge Project 151 - Bihar,Ministry of Road Transport & Highways,NHAI,Roads,Bihar,Bridge,2022-08-02,2023-01-15,2025-05-15,2025-05-30,179.2,184.83,PAI26-100150,OCMS-2021-10150,PMG-50150
PAI-00152,Rail Corridor Project 152 - Maharashtra,Ministry of Railways,RVNL,Railways,Maharashtra,Rail Corridor,2022-04-04,2022-07-22,2025-08-22,2025-08-22,150.0,167.06,PAI26-100151,OCMS-2022-10151,PMG-50151
PAI-00153,Substation Project 153 - Karnataka,Ministry of Power,Power Grid Corporation,Power,Karnataka,Substation,2023-08-15,2024-06-05,2026-08-05,2026-08-10,150.0,160.9,PAI26-100152,OCMS-2023-10152,PMG-50152
PAI-00154,Inland Waterway Project 154 - Madhya Pradesh,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Madhya Pradesh,Inland Waterway,2022-01-19,2022-10-07,2026-02-07,2026-02-08,325.76,357.57,PAI26-100153,OCMS-2024-10153,PMG-50153
PAI-00155,Airport Expansion Project 155 - Uttarakhand,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Uttarakhand,Airport Expansion,2023-03-21,2023-10-03,2027-09-03,2027-09-25,271.83,292.83,PAI26-100154,OCMS-2018-10154,PMG-50154
PAI-00156,Data Network Project 156 - Haryana,Ministry of Telecommunications,RailTel,Telecom,Haryana,Data Network,2023-09-16,2024-02-10,2026-12-10,2027-06-04,430.81,535.28,PAI26-100155,OCMS-2019-10155,PMG-50155
PAI-00157,Bridge Project 157 - Gujarat,Ministry of Road Transport & Highways,MoRTH,Roads,Gujarat,Bridge,2022-06-13,2022-10-03,2026-07-03,2026-09-15,150.0,157.86,PAI26-100156,OCMS-2020-10156,PMG-50156
PAI-00158,Rail Corridor Project 158 - Kerala,Ministry of Railways,RVNL,Railways,Kerala,Rail Corridor,2022-04-14,2022-08-25,2025-05-25,2025-06-20,228.52,239.96,PAI26-100157,OCMS-2021-10157,PMG-50157
PAI-00159,Grid Modernisation Project 159 - Tamil Nadu,Ministry of Power,NHPC,Power,Tamil Nadu,Grid Modernisation,2022-01-18,2022-05-13,2024-08-13,2024-09-21,361.34,361.34,PAI26-100158,OCMS-2022-10158,PMG-50158
PAI-00160,Dredging Project 160 - Haryana,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Haryana,Dredging,2023-07-30,2023-11-03,2027-01-03,2027-07-24,150.0,195.44,PAI26-100159,OCMS-2023-10159,PMG-50159
PAI-00161,Air Navigation Project 161 - Madhya Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Madhya Pradesh,Air Navigation,2023-11-05,2024-04-20,2028-12-20,2029-02-26,213.48,233.48,PAI26-100160,OCMS-2024-10160,PMG-50160
PAI-00162,5G Infrastructure Project 162 - Assam,Ministry of Telecommunications,Department of Telecommunications,Telecom,Assam,5G Infrastructure,2023-01-03,2023-07-18,2027-10-18,2027-10-18,205.19,219.56,PAI26-100161,OCMS-2018-10161,PMG-50161
PAI-00163,Bridge Project 163 - Maharashtra,Ministry of Road Transport & Highways,NHAI,Roads,Maharashtra,Bridge,2023-06-25,2023-12-23,2027-09-23,2028-01-14,343.02,422.31,PAI26-100162,OCMS-2019-10162,PMG-50162
PAI-00164,Electrification Project 164 - West Bengal,Ministry of Railways,Indian Railways,Railways,West Bengal,Electrification,2022-01-23,2022-09-15,2026-11-15,2026-12-03,150.0,156.92,PAI26-100163,OCMS-2020-10163,PMG-50163
PAI-00165,Generation Project 165 - Sikkim,Ministry of Power,NHPC,Power,Sikkim,Generation,2022-11-05,2023-07-21,2028-01-21,2028-01-27,150.0,164.28,PAI26-100164,OCMS-2021-10164,PMG-50164
PAI-00166,Port Expansion Project 166 - Madhya Pradesh,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Madhya Pradesh,Port Expansion,2023-07-29,2023-12-18,2026-10-18,2026-10-18,375.54,382.77,PAI26-100165,OCMS-2022-10165,PMG-50165
PAI-00167,Terminal Project 167 - Uttar Pradesh,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Uttar Pradesh,Terminal,2023-04-22,2023-07-19,2027-09-19,2028-01-30,525.53,667.0,PAI26-100166,OCMS-2023-10166,PMG-50166
PAI-00168,Data Network Project 168 - Odisha,Ministry of Telecommunications,RailTel,Telecom,Odisha,Data Network,2022-07-05,2022-10-12,2025-06-12,2025-07-02,344.07,350.36,PAI26-100167,OCMS-2024-10167,PMG-50167
PAI-00169,Road Widening Project 169 - Andhra Pradesh,Ministry of Road Transport & Highways,NHAI,Roads,Andhra Pradesh,Road Widening,2022-01-30,2022-05-23,2026-12-23,2026-12-23,181.88,186.16,PAI26-100168,OCMS-2018-10168,PMG-50168
PAI-00170,Rail Corridor Project 170 - Andhra Pradesh,Ministry of Railways,IRCON,Railways,Andhra Pradesh,Rail Corridor,2023-08-11,2024-03-01,2026-07-01,2026-08-22,674.67,674.67,PAI26-100169,OCMS-2019-10169,PMG-50169
PAI-00171,Transmission Project 171 - West Bengal,Ministry of Power,NHPC,Power,West Bengal,Transmission,2022-03-04,2022-08-04,2026-03-04,2026-11-09,150.0,199.59,PAI26-100170,OCMS-2020-10170,PMG-50170
PAI-00172,Terminal Project 172 - Karnataka,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Karnataka,Terminal,2023-08-17,2024-06-01,2027-09-01,2028-07-16,215.9,306.18,PAI26-100171,OCMS-2021-10171,PMG-50171
PAI-00173,Runway Project 173 - Rajasthan,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Rajasthan,Runway,2022-02-02,2022-11-19,2025-07-19,2026-02-08,150.0,190.57,PAI26-100172,OCMS-2022-10172,PMG-50172
PAI-00174,Data Network Project 174 - Assam,Ministry of Telecommunications,Department of Telecommunications,Telecom,Assam,Data Network,2023-03-20,2023-11-27,2028-05-27,2028-08-13,177.91,177.91,PAI26-100173,OCMS-2023-10173,PMG-50173
PAI-00175,National Highway Project 175 - Punjab,Ministry of Road Transport & Highways,NHAI,Roads,Punjab,National Highway,2023-04-16,2024-01-22,2027-07-22,2027-11-06,232.2,244.22,PAI26-100174,OCMS-2024-10174,PMG-50174
PAI-00176,Bridge Project 176 - Haryana,Ministry of Railways,IRCON,Railways,Haryana,Bridge,2022-05-12,2022-09-30,2026-11-30,2026-12-14,150.0,156.18,PAI26-100175,OCMS-2018-10175,PMG-50175
PAI-00177,Transmission Project 177 - Jharkhand,Ministry of Power,NHPC,Power,Jharkhand,Transmission,2023-10-20,2024-02-12,2028-02-12,2028-02-20,212.86,238.22,PAI26-100176,OCMS-2019-10176,PMG-50176
PAI-00178,Terminal Project 178 - Uttarakhand,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Uttarakhand,Terminal,2023-03-10,2023-11-18,2026-10-18,2026-10-18,886.3,937.92,PAI26-100177,OCMS-2020-10177,PMG-50177
PAI-00179,Terminal Project 179 - Sikkim,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Sikkim,Terminal,2023-10-09,2024-01-01,2028-02-01,2028-03-03,352.17,370.97,PAI26-100178,OCMS-2021-10178,PMG-50178
PAI-00180,Data Network Project 180 - Assam,Ministry of Telecommunications,Department of Telecommunications,Telecom,Assam,Data Network,2022-06-16,2022-10-12,2026-02-12,2026-03-24,323.85,367.57,PAI26-100179,OCMS-2022-10179,PMG-50179
PAI-00181,National Highway Project 181 - Sikkim,Ministry of Road Transport & Highways,MoRTH,Roads,Sikkim,National Highway,2022-12-21,2023-05-12,2028-01-12,2028-01-29,150.0,150.0,PAI26-100180,OCMS-2023-10180,PMG-50180
PAI-00182,Bridge Project 182 - Telangana,Ministry of Railways,RVNL,Railways,Telangana,Bridge,2022-06-20,2023-04-12,2025-07-12,2025-09-20,150.0,152.88,PAI26-100181,OCMS-2024-10181,PMG-50181
PAI-00183,Generation Project 183 - Madhya Pradesh,Ministry of Power,Power Grid Corporation,Power,Madhya Pradesh,Generation,2023-03-28,2023-11-20,2027-08-20,2027-10-24,150.0,161.23,PAI26-100182,OCMS-2018-10182,PMG-50182
PAI-00184,Port Expansion Project 184 - Rajasthan,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Rajasthan,Port Expansion,2023-04-29,2023-09-30,2026-01-30,2026-10-03,272.11,373.63,PAI26-100183,OCMS-2019-10183,PMG-50183
PAI-00185,Airport Expansion Project 185 - Tamil Nadu,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Tamil Nadu,Airport Expansion,2023-01-07,2023-08-26,2028-07-26,2028-08-18,150.0,166.59,PAI26-100184,OCMS-2020-10184,PMG-50184
PAI-00186,Fiber Network Project 186 - Assam,Ministry of Telecommunications,Department of Telecommunications,Telecom,Assam,Fiber Network,2023-11-10,2024-05-13,2027-01-13,2027-03-30,203.2,206.92,PAI26-100185,OCMS-2021-10185,PMG-50185
PAI-00187,National Highway Project 187 - Maharashtra,Ministry of Road Transport & Highways,NHIDCL,Roads,Maharashtra,National Highway,2022-10-31,2023-05-02,2026-03-02,2026-03-02,150.0,150.0,PAI26-100186,OCMS-2022-10186,PMG-50186
PAI-00188,Station Redevelopment Project 188 - Odisha,Ministry of Railways,RVNL,Railways,Odisha,Station Redevelopment,2023-11-29,2024-07-19,2026-08-19,2027-01-13,348.92,415.24,PAI26-100187,OCMS-2023-10187,PMG-50187
PAI-00189,Generation Project 189 - Gujarat,Ministry of Power,NTPC,Power,Gujarat,Generation,2023-04-09,2023-12-26,2026-05-26,2026-05-26,150.0,167.86,PAI26-100188,OCMS-2024-10188,PMG-50188
PAI-00190,Dredging Project 190 - Maharashtra,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Maharashtra,Dredging,2023-10-01,2024-01-24,2027-11-24,2028-03-22,172.96,197.87,PAI26-100189,OCMS-2018-10189,PMG-50189
PAI-00191,Runway Project 191 - Kerala,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Kerala,Runway,2023-01-03,2023-07-01,2025-12-01,2026-01-02,156.04,170.72,PAI26-100190,OCMS-2019-10190,PMG-50190
PAI-00192,5G Infrastructure Project 192 - Haryana,Ministry of Telecommunications,Department of Telecommunications,Telecom,Haryana,5G Infrastructure,2023-03-13,2023-08-18,2027-08-18,2027-08-18,283.52,283.52,PAI26-100191,OCMS-2020-10191,PMG-50191
PAI-00193,Road Widening Project 193 - Punjab,Ministry of Road Transport & Highways,MoRTH,Roads,Punjab,Road Widening,2022-02-05,2022-09-16,2025-12-16,2025-12-16,520.88,542.85,PAI26-100192,OCMS-2021-10192,PMG-50192
PAI-00194,Electrification Project 194 - Andhra Pradesh,Ministry of Railways,Indian Railways,Railways,Andhra Pradesh,Electrification,2023-04-24,2023-07-22,2028-01-22,2028-03-29,327.12,359.23,PAI26-100193,OCMS-2022-10193,PMG-50193
PAI-00195,Grid Modernisation Project 195 - Rajasthan,Ministry of Power,NHPC,Power,Rajasthan,Grid Modernisation,2023-08-28,2024-04-23,2027-01-23,2027-05-05,332.72,385.57,PAI26-100194,OCMS-2023-10194,PMG-50194
PAI-00196,Dredging Project 196 - Odisha,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Odisha,Dredging,2023-09-03,2023-12-29,2026-07-29,2026-10-06,629.2,706.74,PAI26-100195,OCMS-2024-10195,PMG-50195
PAI-00197,Airport Expansion Project 197 - Uttarakhand,Ministry of Civil Aviation,Civil Aviation Authority,Civil Aviation,Uttarakhand,Airport Expansion,2023-06-19,2023-11-10,2026-04-10,2026-04-21,496.63,532.32,PAI26-100196,OCMS-2018-10196,PMG-50196
PAI-00198,Tower Infrastructure Project 198 - Punjab,Ministry of Telecommunications,BSNL,Telecom,Punjab,Tower Infrastructure,2022-04-12,2022-11-25,2026-06-25,2026-09-20,333.2,413.57,PAI26-100197,OCMS-2019-10197,PMG-50197
PAI-00199,National Highway Project 199 - Kerala,Ministry of Road Transport & Highways,MoRTH,Roads,Kerala,National Highway,2022-09-10,2023-05-16,2025-12-16,2026-02-28,276.73,312.26,PAI26-100198,OCMS-2020-10198,PMG-50198
PAI-00200,Bridge Project 200 - Madhya Pradesh,Ministry of Railways,IRCON,Railways,Madhya Pradesh,Bridge,2023-07-19,2024-04-18,2027-05-18,2027-05-18,150.0,158.06,PAI26-100199,OCMS-2021-10199,PMG-50199
PAI-00201,Substation Project 201 - Uttar Pradesh,Ministry of Power,NHPC,Power,Uttar Pradesh,Substation,2022-07-15,2023-03-09,2027-05-09,2027-05-09,234.26,259.84,PAI26-100200,OCMS-2022-10200,PMG-50200
PAI-00202,Dredging Project 202 - Maharashtra,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Maharashtra,Dredging,2023-07-22,2024-02-18,2028-09-18,2028-09-18,154.79,166.09,PAI26-100201,OCMS-2023-10201,PMG-50201
PAI-00203,Air Navigation Project 203 - Gujarat,Ministry of Civil Aviation,AAI,Civil Aviation,Gujarat,Air Navigation,2023-12-20,2024-10-05,2028-02-05,2028-03-14,150.0,150.0,PAI26-100202,OCMS-2024-10202,PMG-50202
PAI-00204,Tower Infrastructure Project 204 - Assam,Ministry of Telecommunications,Department of Telecommunications,Telecom,Assam,Tower Infrastructure,2022-08-08,2023-04-16,2026-08-16,2026-08-27,150.0,163.23,PAI26-100203,OCMS-2018-10203,PMG-50203
PAI-00205,Bridge Project 205 - Punjab,Ministry of Road Transport & Highways,NHIDCL,Roads,Punjab,Bridge,2022-09-07,2023-01-27,2026-05-27,2026-07-05,287.46,316.31,PAI26-100204,OCMS-2019-10204,PMG-50204
PAI-00206,Rail Corridor Project 206 - Rajasthan,Ministry of Railways,Indian Railways,Railways,Rajasthan,Rail Corridor,2022-11-18,2023-04-16,2026-02-16,2026-02-16,150.0,153.06,PAI26-100205,OCMS-2020-10205,PMG-50205
PAI-00207,Generation Project 207 - Odisha,Ministry of Power,Power Grid Corporation,Power,Odisha,Generation,2023-04-21,2023-11-30,2028-05-30,2028-05-30,199.53,210.03,PAI26-100206,OCMS-2021-10206,PMG-50206
PAI-00208,Dredging Project 208 - Madhya Pradesh,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Madhya Pradesh,Dredging,2022-07-18,2023-01-28,2026-11-28,2027-02-06,150.0,154.12,PAI26-100207,OCMS-2022-10207,PMG-50207
PAI-00209,Runway Project 209 - Maharashtra,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Maharashtra,Runway,2022-11-24,2023-07-19,2026-06-19,2026-12-04,266.67,325.52,PAI26-100208,OCMS-2023-10208,PMG-50208
PAI-00210,Fiber Network Project 210 - Gujarat,Ministry of Telecommunications,RailTel,Telecom,Gujarat,Fiber Network,2022-08-19,2022-12-20,2025-01-20,2025-01-20,150.0,168.83,PAI26-100209,OCMS-2024-10209,PMG-50209
PAI-00211,National Highway Project 211 - Tamil Nadu,Ministry of Road Transport & Highways,MoRTH,Roads,Tamil Nadu,National Highway,2023-04-17,2023-06-19,2025-11-19,2025-12-28,150.0,151.43,PAI26-100210,OCMS-2018-10210,PMG-50210
PAI-00212,Bridge Project 212 - Assam,Ministry of Railways,RVNL,Railways,Assam,Bridge,2023-11-20,2024-07-10,2029-07-10,2030-05-29,150.0,206.45,PAI26-100211,OCMS-2019-10211,PMG-50211
PAI-00213,Generation Project 213 - Telangana,Ministry of Power,NTPC,Power,Telangana,Generation,2022-08-22,2022-11-29,2025-02-28,2025-02-28,187.35,189.51,PAI26-100212,OCMS-2020-10212,PMG-50212
PAI-00214,Inland Waterway Project 214 - Haryana,"Ministry of Ports, Shipping & Waterways",IWAI,Ports & Waterways,Haryana,Inland Waterway,2022-04-17,2022-11-03,2025-09-03,2025-09-03,184.79,201.43,PAI26-100213,OCMS-2021-10213,PMG-50213
PAI-00215,Runway Project 215 - Telangana,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,Telangana,Runway,2023-05-04,2024-01-01,2026-07-01,2026-08-10,337.91,337.91,PAI26-100214,OCMS-2022-10214,PMG-50214
PAI-00216,5G Infrastructure Project 216 - Maharashtra,Ministry of Telecommunications,Department of Telecommunications,Telecom,Maharashtra,5G Infrastructure,2023-11-20,2024-06-15,2029-06-15,2029-08-30,200.76,218.75,PAI26-100215,OCMS-2023-10215,PMG-50215
PAI-00217,Road Widening Project 217 - Karnataka,Ministry of Road Transport & Highways,NHIDCL,Roads,Karnataka,Road Widening,2023-01-25,2023-10-21,2028-05-21,2028-05-21,150.0,153.79,PAI26-100216,OCMS-2024-10216,PMG-50216
PAI-00218,Rail Corridor Project 218 - Chhattisgarh,Ministry of Railways,Indian Railways,Railways,Chhattisgarh,Rail Corridor,2023-03-19,2023-11-22,2026-07-22,2026-08-13,394.25,429.49,PAI26-100217,OCMS-2018-10217,PMG-50217
PAI-00219,Transmission Project 219 - Jharkhand,Ministry of Power,NHPC,Power,Jharkhand,Transmission,2022-02-22,2022-07-29,2025-05-29,2025-07-28,231.56,240.43,PAI26-100218,OCMS-2019-10218,PMG-50218
PAI-00220,Dredging Project 220 - Haryana,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Haryana,Dredging,2022-05-03,2023-02-20,2025-05-20,2025-11-06,662.82,793.34,PAI26-100219,OCMS-2020-10219,PMG-50219
PAI-00221,Runway Project 221 - Chhattisgarh,Ministry of Civil Aviation,AAI,Civil Aviation,Chhattisgarh,Runway,2023-06-22,2023-10-25,2027-01-25,2027-03-05,150.0,159.01,PAI26-100220,OCMS-2021-10220,PMG-50220
